('7935.21', '1495.69')
('7961.47', '1495.69')
('261.20', '1542.39')
('236.39', '1543.85')
('286.01', '1543.85')
('310.81', '1543.85')
('334.16', '1543.85')
('360.43', '1543.85')
('385.23', '1543.85')
('410.04', '1543.85')
('434.85', '1545.31')
('459.65', '1545.31')
('484.46', '1545.31')
('509.27', '1545.31')
('535.53', '1545.31')
('558.88', '1545.31')
('585.15', '1545.31')
('608.49', '1546.77')
('633.30', '1546.77')
('658.11', '1546.77')
('682.91', '1546.77')
('706.26', '1546.77')
('732.53', '1546.77')
('757.33', '1546.77')
('782.14', '1546.77')
('806.95', '1548.23')
('831.75', '1548.23')
('855.10', '1548.23')
('879.91', '1548.23')
('904.71', '1549.69')
('929.52', '1549.69')
('952.87', '1549.69')
('979.13', '1552.60')
('1002.48', '1552.60')
('1027.29', '1552.60')
('1050.63', '1552.60')
('1073.98', '1552.60')
('1098.79', '1552.60')
('1122.14', '1552.60')
('1146.94', '1552.60')
('1170.29', '1552.60')
('1193.64', '1554.06')
('1218.44', '1554.06')
('1241.79', '1554.06')
('1265.14', '1554.06')
('1289.95', '1554.06')
('1314.75', '1554.06')
('1336.64', '1555.52')
('1361.45', '1556.98')
('1384.79', '1556.98')
('1409.60', '1556.98')
('1432.95', '1556.98')
('1481.10', '1556.98')
('1505.91', '1556.98')
('1578.87', '1556.98')
('1603.68', '1556.98')
('1627.02', '1556.98')
('1650.37', '1556.98')
('1529.26', '1558.44')
('1554.06', '1558.44')
('1675.18', '1558.44')
('1698.53', '1558.44')
('1721.87', '1559.90')
('1746.68', '1558.44')
('1771.49', '1558.44')
('1796.29', '1559.90')
('1819.64', '1559.90')
('1842.99', '1559.90')
('1867.79', '1559.90')
('1891.14', '1561.36')
('1915.95', '1561.36')
('1939.30', '1561.36')
('1962.64', '1564.28')
('1987.45', '1564.28')
('2010.80', '1564.28')
('2034.15', '1564.28')
('2058.95', '1564.28')
('2082.30', '1565.74')
('2105.65', '1564.28')
('2130.45', '1564.28')
('2153.80', '1565.74')
('2178.61', '1565.74')
('2201.95', '1565.74')
('2274.92', '1565.74')
('2225.30', '1567.20')
('2250.11', '1567.20')
('2298.26', '1567.20')
('2321.61', '1567.20')
('2346.42', '1567.20')
('2369.76', '1567.20')
('2394.57', '1567.20')
('2417.92', '1568.66')
('2442.73', '1568.66')
('2466.07', '1568.66')
('2490.88', '1568.66')
('2514.23', '1568.66')
('2539.03', '1568.66')
('2562.38', '1568.66')
('2657.23', '1568.66')
('2682.04', '1568.66')
('2705.38', '1568.66')
('2585.73', '1570.11')
('2610.53', '1570.11')
('2633.88', '1570.11')
('2728.73', '1570.11')
('2753.54', '1570.11')
('2776.89', '1570.11')
('2801.69', '1570.11')
('2825.04', '1571.57')
('2898.00', '1571.57')
('2921.35', '1571.57')
('2944.69', '1571.57')
('2969.50', '1571.57')
('2994.31', '1573.03')
('3017.66', '1573.03')
('3041.00', '1573.03')
('3089.16', '1575.95')
('3112.50', '1575.95')
('3137.31', '1577.41')
('3162.12', '1577.41')
('3185.47', '1575.95')
('3208.81', '1575.95')
('3232.16', '1577.41')
('3256.97', '1577.41')
('3281.77', '1577.41')
('3305.12', '1578.87')
('3328.47', '1578.87')
('3353.27', '1578.87')
('3376.62', '1578.87')
('3401.43', '1578.87')
('3424.78', '1578.87')
('3448.12', '1578.87')
('3471.47', '1578.87')
('3496.28', '1578.87')
('3519.63', '1580.33')
('3542.97', '1581.79')
('3567.78', '1581.79')
('3591.13', '1581.79')
('3615.93', '1581.79')
('3639.28', '1581.79')
('3662.63', '1581.79')
('3685.98', '1581.79')
('3710.78', '1583.25')
('3735.59', '1583.25')
('3758.94', '1583.25')
('3783.74', '1583.25')
('3807.09', '1583.25')
('4094.56', '1606.60')
